SupplierID,CompanyName,ContactName,ContactTitle,City,Region,Country
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,British Isles,UK
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,New Orleans,North America,USA
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,Ann Arbor,North America,USA
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,Tokyo,Eastern Asia,Japan
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra ,Export Administrator,Oviedo,Southern Europe,Spain
6,Mayumi's,Mayumi Ohno,Marketing Representative,Osaka,Eastern Asia,Japan
7,"Pavlova, Ltd.",Ian Devling,Marketing Manager,Melbourne,Victoria,Australia
8,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,Manchester,British Isles,UK
9,PB Knäckebröd AB,Lars Peterson,Sales Agent,Göteborg,Unknown,Sweden 
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,São Paulo,South America,Brazil
11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Berlin,Western Europe,Germany
12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Frankfurt,Western Europe,Germany
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Cuxhaven,Western Europe,Germany
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Ravenna,Southern Europe,Italy
15,Norske Meierier,Beate Vileid,Marketing Manager,Sandvika,Scandinavia,Norway
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,Bend,North America,USA
17,Svensk Sjöföda AB,Michael Björn,Sales Representative,Stockholm,Northern Europe,Sweden
18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,Paris,Western Europe,France
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Boston,North America,USA
20,Leka Trading,Chandra Leka,Owner,Singapore,South-East Asia,Singapore
21,Lyngbysild,Niels Petersen,Sales Manager,Lyngby,Northern Europe,Denmark
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Zaandam,Northern Europe,Netherlands
23,Karkki Oy,Anne Heikkonen,Product Manager,Lappeenranta,Scandinavia,Finland
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,Sydney,NSW,Australia
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,Montréal,North America,Canada
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Salerno,Southern Europe,Italy
27,Escargots Nouveaux,Marie Delamare,Sales Manager,Montceau,Western Europe,France
28,Gai pâturage,Eliane Noz,Sales Representative,Annecy,Western Europe,France
29,Forêts d'érables,Chantal Goulet,Accounting Manager,Ste-Hyacinthe,North America,Canada
